Reference, Value, Footprint, Datasheet
"U2","LM324","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm",""
"IC1","ATXMEGA16A4U-A","Housings_QFP:LQFP-44_10x10mm_Pitch0.8mm",""
"P2","USB_OTG","Connect:USB_Micro-B_WIDE",""
"U1","78L05","SMD:SOT-23-3",""
"R1","1M","Resistors_SMD:R_0603",""
"R3","75K","Resistors_SMD:R_0603",""
"R5","1K","Resistors_SMD:R_0603",""
"R6","1K","Resistors_SMD:R_0603",""
"R4","75K","Resistors_SMD:R_0603",""
"R2","1M","Resistors_SMD:R_0603",""
"C2","C","Capacitors_SMD:C_0603",""
"C1","C","Capacitors_SMD:C_0603",""
"C3","C_Small","Capacitors_SMD:C_0603",""
"C4","C_Small","Capacitors_SMD:C_0603",""
"R22","28R","Resistors_SMD:R_0603",""
"C13","C","Capacitors_SMD:C_0603",""
"R24","28R","Resistors_SMD:R_0603",""
"R11","28R","Resistors_SMD:R_0603",""
"R7","28R","Resistors_SMD:R_0603",""
"R13","28R","Resistors_SMD:R_0603",""
"R9","28R","Resistors_SMD:R_0603",""
"R14","28R","Resistors_SMD:R_0603",""
"R10","28R","Resistors_SMD:R_0603",""
"R12","28R","Resistors_SMD:R_0603",""
"R8","28R","Resistors_SMD:R_0603",""
"P3","DIG_OUT","Pin_Headers:Pin_Header_Straight_1x04",""
"C5","C_Small","Capacitors_SMD:C_0603",""
"U4","DMN63D8LDW","TO_SOT_Packages_SMD:SOT-363",""
"P8","DIG_IN","Pin_Headers:Pin_Header_Straight_1x02",""
"F1","F_Small","Capacitors_SMD:C_1210",""
"L1","INDUCTOR","Special_inductor:SELF-WE-PD-XXL",""
"D1","D_Schottky","Diodes_SMD:SMA_Standard",""
"C9","CP1","Capacitors_SMD:c_elec_4x5.3",""
"C10","C","Capacitors_SMD:C_0603",""
"C16","C","Capacitors_SMD:C_0603",""
"C15","CP1","Capacitors_SMD:c_elec_4x5.3",""
"P4","PDI/3V3","Pin_Headers:Pin_Header_Straight_2x02",""
"R23","28R","Resistors_SMD:R_0603",""
"R25","28R","Resistors_SMD:R_0603",""
"C14","C","Capacitors_SMD:C_0603",""
"P6","DAC_OUT","Pin_Headers:Pin_Header_Straight_1x04",""
"R26","1K","Resistors_SMD:R_0603",""
"R27","100R","Resistors_SMD:R_0603",""
"C6","CP1","Capacitors_SMD:c_elec_4x5.3",""
"R19","1K","Resistors_SMD:R_0603",""
"C11","C","Capacitors_SMD:C_0603",""
"C8","C","Capacitors_SMD:C_0603",""
"R17","1K","Resistors_SMD:R_0603",""
"R18","1K","Resistors_SMD:R_0603",""
"U3","DMN63D8LDW","TO_SOT_Packages_SMD:SOT-363",""
"R20","1K","Resistors_SMD:R_0603",""
"R15","1K","Resistors_SMD:R_0603",""
"R16","1K","Resistors_SMD:R_0603",""
"L2","INDUCTOR","Resistors_SMD:R_1206",""
"L3","INDUCTOR","Resistors_SMD:R_1206",""
"C7","C","Capacitors_SMD:C_0603",""
"R21","1K","Resistors_SMD:R_0603",""
"R28","1K","Resistors_SMD:R_0603",""
"R29","1K","Resistors_SMD:R_0603",""
"R30","1K","Resistors_SMD:R_0603",""
"P7","PSU","Pin_Headers:Pin_Header_Straight_1x02",""
"L4","INDUCTOR","Resistors_SMD:R_1206",""
"C18","C","Capacitors_SMD:C_0603",""
"C17","C","Capacitors_SMD:C_0603",""
"R31","1K","Resistors_SMD:R_0603",""
"Q1","Q_NMOS_GSD","SMD:SOT-23-3",""
"D2","LED","LEDs:LED_0603",""
"R32","1K","Resistors_SMD:R_0603",""
"P10","EXPANSION","Pin_Headers:Pin_Header_Straight_1x03",""
"P11","SWITCH","Pin_Headers:Pin_Header_Straight_1x03",""
"P1","SCOPE_OUT","Pin_Headers:Pin_Header_Straight_1x04",""
"P5","SCOPE_OUT","Pin_Headers:Pin_Header_Straight_1x04",""
"C12","C","Capacitors_SMD:C_0603",""
